timestamp,segment_length_miles,average_travel_time_seconds,average_speed_mph,number_samples,standard_deviation,time,weekday,totalspeed,totaltraveltime,pooled_variance
2013-11-15 05:15:00,3.5,266,47,1,0.0,05:15:00,4,47,266,0.0
2013-11-15 06:30:00,3.5,248,51,2,4.24,06:30:00,4,102,496,17.977600000000002
2013-11-15 08:45:00,3.5,1300,10,2,35.36,08:45:00,4,20,2600,1250.3296
2013-11-15 09:15:00,3.5,2957,4,1,0.0,09:15:00,4,4,2957,0.0
2013-11-15 09:30:00,3.5,271,46,1,0.0,09:30:00,4,46,271,0.0
2013-11-15 10:15:00,3.5,313,40,2,14.85,10:15:00,4,80,626,220.52249999999998
2013-11-15 10:45:00,3.5,239,53,1,0.0,10:45:00,4,53,239,0.0
2013-11-15 11:15:00,3.5,250,50,1,0.0,11:15:00,4,50,250,0.0
2013-11-15 11:45:00,3.5,261,48,5,3.78,11:45:00,4,240,1305,57.1536
2013-11-15 12:00:00,3.5,242,52,3,7.02,12:00:00,4,156,726,98.56079999999999
2013-11-15 12:15:00,3.5,269,47,2,2.12,12:15:00,4,94,538,4.494400000000001
2013-11-15 12:30:00,3.5,251,50,2,4.95,12:30:00,4,100,502,24.5025
2013-11-15 12:45:00,3.5,247,51,2,8.49,12:45:00,4,102,494,72.0801
2013-11-15 13:00:00,3.5,305,41,1,0.0,13:00:00,4,41,305,0.0
2013-11-15 13:15:00,3.5,273,46,2,2.83,13:15:00,4,92,546,8.0089
2013-11-15 13:45:00,3.5,280,45,5,8.23,13:45:00,4,225,1400,270.9316
2013-11-15 14:00:00,3.5,299,42,4,6.99,14:00:00,4,168,1196,146.58030000000002
2013-11-15 14:15:00,3.5,287,44,9,5.87,14:15:00,4,396,2583,275.65520000000004
2013-11-15 14:30:00,3.5,312,40,5,7.64,14:30:00,4,200,1560,233.4784
2013-11-15 14:45:00,3.5,239,53,4,5.94,14:45:00,4,212,956,105.85080000000002
2013-11-15 15:00:00,3.5,273,46,2,2.12,15:00:00,4,92,546,4.494400000000001
2013-11-15 15:15:00,3.5,268,47,3,5.03,15:15:00,4,141,804,50.601800000000004
2013-11-15 15:30:00,3.5,574,22,3,23.63,15:30:00,4,66,1722,1116.7538
