timestamp,segment_length_miles,average_travel_time_seconds,average_speed_mph,number_samples,standard_deviation,time,weekday,totalspeed,totaltraveltime,pooled_variance
2013-11-15 05:15:00,3.5,343,37,1,0.0,05:15:00,4,37,343,0.0
2013-11-15 05:30:00,3.5,211,60,2,2.83,05:30:00,4,120,422,8.0089
2013-11-15 05:45:00,3.5,218,58,1,0.0,05:45:00,4,58,218,0.0
2013-11-15 06:00:00,3.5,251,50,2,12.02,06:00:00,4,100,502,144.4804
2013-11-15 06:15:00,3.5,251,50,1,0.0,06:15:00,4,50,251,0.0
2013-11-15 06:45:00,3.5,220,57,1,0.0,06:45:00,4,57,220,0.0
2013-11-15 07:00:00,3.5,230,55,2,2.12,07:00:00,4,110,460,4.494400000000001
2013-11-15 07:15:00,3.5,221,57,1,0.0,07:15:00,4,57,221,0.0
2013-11-15 07:45:00,3.5,234,54,2,2.83,07:45:00,4,108,468,8.0089
2013-11-15 08:00:00,3.5,1506,8,2,34.65,08:00:00,4,16,3012,1200.6225
2013-11-15 08:15:00,3.5,225,56,2,2.83,08:15:00,4,112,450,8.0089
2013-11-15 08:45:00,3.5,273,46,1,0.0,08:45:00,4,46,273,0.0
2013-11-15 09:00:00,3.5,238,53,2,2.83,09:00:00,4,106,476,8.0089
2013-11-15 09:15:00,3.5,229,55,1,0.0,09:15:00,4,55,229,0.0
2013-11-15 09:30:00,3.5,246,51,4,7.39,09:30:00,4,204,984,163.8363
2013-11-15 10:15:00,3.5,222,57,5,8.73,10:15:00,4,285,1110,304.8516
2013-11-15 10:45:00,3.5,199,63,2,7.78,10:45:00,4,126,398,60.528400000000005
2013-11-15 11:00:00,3.5,226,56,3,5.0,11:00:00,4,168,678,50.0
2013-11-15 11:15:00,3.5,228,55,4,6.5,11:15:00,4,220,912,126.75
2013-11-15 11:30:00,3.5,238,53,5,5.73,11:30:00,4,265,1190,131.3316
2013-11-15 11:45:00,3.5,261,48,8,2.42,11:45:00,4,384,2088,40.9948
2013-11-15 12:00:00,3.5,246,51,7,6.21,12:00:00,4,357,1722,231.38459999999998
2013-11-15 12:15:00,3.5,282,45,11,9.28,12:15:00,4,495,3102,861.184
2013-11-15 12:30:00,3.5,278,45,15,4.82,12:30:00,4,675,4170,325.2536
2013-11-15 12:45:00,3.5,270,47,19,5.52,12:45:00,4,893,5130,548.4671999999999
2013-11-15 13:00:00,3.5,277,45,14,8.09,13:00:00,4,630,3878,850.8253
2013-11-15 13:15:00,3.5,363,35,15,5.97,13:15:00,4,525,5445,498.97259999999994
2013-11-15 13:30:00,3.5,391,32,13,7.03,13:30:00,4,416,5083,593.0508
2013-11-15 13:45:00,3.5,476,26,15,1.81,13:45:00,4,390,7140,45.8654
2013-11-15 14:00:00,3.5,559,23,14,2.53,14:00:00,4,322,7826,83.2117
2013-11-15 14:15:00,3.5,458,28,15,4.79,14:15:00,4,420,6870,321.2174
2013-11-15 14:30:00,3.5,310,41,24,5.86,14:30:00,4,984,7440,789.8108000000001
2013-11-15 14:45:00,3.5,293,43,15,4.84,14:45:00,4,645,4395,327.9584
2013-11-15 15:00:00,3.5,300,42,17,5.59,15:00:00,4,714,5100,499.96959999999996
2013-11-15 15:15:00,3.5,284,44,7,8.34,15:15:00,4,308,1988,417.3336
2013-11-15 15:30:00,3.5,281,45,10,5.31,15:30:00,4,450,2810,253.76489999999995
2013-11-15 15:45:00,3.5,298,42,10,5.73,15:45:00,4,420,2980,295.4961
2013-11-15 16:00:00,3.5,267,47,8,5.1,16:00:00,4,376,2136,182.07
2013-11-15 16:15:00,3.5,252,50,5,6.27,16:15:00,4,250,1260,157.25159999999997
2013-11-15 16:30:00,3.5,450,28,16,12.14,16:30:00,4,448,7200,2210.694
2013-11-15 16:45:00,3.5,265,48,9,4.08,16:45:00,4,432,2385,133.1712
2013-11-15 17:00:00,3.5,276,46,10,5.59,17:00:00,4,460,2760,281.2329
2013-11-15 17:15:00,3.5,295,43,11,7.94,17:15:00,4,473,3245,630.436
2013-11-15 17:30:00,3.5,324,39,14,4.92,17:30:00,4,546,4536,314.6832
2013-11-15 17:45:00,3.5,384,33,11,3.29,17:45:00,4,363,4224,108.241
2013-11-15 18:00:00,3.5,372,34,14,3.51,18:00:00,4,476,5208,160.16129999999998
2013-11-15 18:15:00,3.5,291,43,13,5.33,18:15:00,4,559,3783,340.9068
2013-11-15 18:30:00,3.5,289,44,11,6.48,18:30:00,4,484,3179,419.9040000000001
2013-11-15 18:45:00,3.5,341,37,19,8.38,18:45:00,4,703,6479,1264.0392000000004
2013-11-15 19:00:00,3.5,382,33,14,11.97,19:00:00,4,462,5348,1862.6517000000001
2013-11-15 19:15:00,3.5,329,38,17,5.59,19:15:00,4,646,5593,499.96959999999996
2013-11-15 19:30:00,3.5,284,44,12,5.22,19:30:00,4,528,3408,299.7324
2013-11-15 19:45:00,3.5,264,48,18,8.16,19:45:00,4,864,4752,1131.9551999999999
